cp,	,max_depth,	,min_split,	,minbucket,	,ganancia_promedio,
-1,	,5,	,1000,	,1,	,8172000,
-0.5,	,5,	,1000,	,1,	,8172000,
-1,	,5,	,1000,	,5,	,9038667,
-0.5,	,5,	,1000,	,5,	,9038667,
-1,	,5,	,1000,	,10,	,9870000,
-0.5,	,5,	,1000,	,10,	,9870000,
-1,	,5,	,1000,	,15,	,10083333,
-0.5,	,5,	,1000,	,15,	,10083333,
-1,	,5,	,1000,	,20,	,10090667,
-0.5,	,5,	,1000,	,20,	,10090667,
-1,	,5,	,1000,	,25,	,10054667,
-0.5,	,5,	,1000,	,25,	,10054667,
-1,	,5,	,1000,	,35,	,10223333,
-0.5,	,5,	,1000,	,35,	,10223333,
-1,	,5,	,1000,	,50,	,10271333,
-0.5,	,5,	,1000,	,50,	,10271333,
-1,	,5,	,800,	,1,	,8172000,
-0.5,	,5,	,800,	,1,	,8172000,
-1,	,5,	,800,	,5,	,8991333,
-0.5,	,5,	,800,	,5,	,8991333,
-1,	,5,	,800,	,10,	,9852000,
-0.5,	,5,	,800,	,10,	,9852000,
-1,	,5,	,800,	,15,	,10067333,
-0.5,	,5,	,800,	,15,	,10067333,
-1,	,5,	,800,	,20,	,10020000,
-0.5,	,5,	,800,	,20,	,10020000,
-1,	,5,	,800,	,25,	,9984000,
-0.5,	,5,	,800,	,25,	,9984000,
-1,	,5,	,800,	,35,	,10152667,
-0.5,	,5,	,800,	,35,	,10152667,
-1,	,5,	,800,	,50,	,10194667,
-0.5,	,5,	,800,	,50,	,10194667,
-1,	,5,	,600,	,1,	,8172000,
-0.5,	,5,	,600,	,1,	,8172000,
-1,	,5,	,600,	,5,	,8989333,
-0.5,	,5,	,600,	,5,	,8989333,
-1,	,5,	,600,	,10,	,9866667,
-0.5,	,5,	,600,	,10,	,9866667,
-1,	,5,	,600,	,15,	,10054000,
-0.5,	,5,	,600,	,15,	,10054000,
-1,	,5,	,600,	,20,	,10021333,
-0.5,	,5,	,600,	,20,	,10021333,
-1,	,5,	,600,	,25,	,9985333,
-0.5,	,5,	,600,	,25,	,9985333,
-1,	,5,	,600,	,35,	,10148000,
-0.5,	,5,	,600,	,35,	,10148000,
-1,	,5,	,600,	,50,	,10188000,
-0.5,	,5,	,600,	,50,	,10188000,
-1,	,5,	,400,	,1,	,8171333,
-0.5,	,5,	,400,	,1,	,8171333,
-1,	,5,	,400,	,5,	,8989333,
-0.5,	,5,	,400,	,5,	,8989333,
-1,	,5,	,400,	,10,	,9850667,
-0.5,	,5,	,400,	,10,	,9850667,
-1,	,5,	,400,	,15,	,10034000,
-0.5,	,5,	,400,	,15,	,10034000,
-1,	,5,	,400,	,20,	,10001333,
-0.5,	,5,	,400,	,20,	,10001333,
-1,	,5,	,400,	,25,	,9965333,
-0.5,	,5,	,400,	,25,	,9965333,
-1,	,5,	,400,	,35,	,10128000,
-0.5,	,5,	,400,	,35,	,10128000,
-1,	,5,	,400,	,50,	,10168000,
-0.5,	,5,	,400,	,50,	,10168000,
-1,	,5,	,200,	,1,	,8171333,
-0.5,	,5,	,200,	,1,	,8171333,
-1,	,5,	,200,	,5,	,8996000,
-0.5,	,5,	,200,	,5,	,8996000,
-1,	,5,	,200,	,10,	,9857333,
-0.5,	,5,	,200,	,10,	,9857333,
-1,	,5,	,200,	,15,	,10065333,
-0.5,	,5,	,200,	,15,	,10065333,
-1,	,5,	,200,	,20,	,10024667,
-0.5,	,5,	,200,	,20,	,10024667,
-1,	,5,	,200,	,25,	,10012000,
-0.5,	,5,	,200,	,25,	,10012000,
-1,	,5,	,200,	,35,	,10227333,
-0.5,	,5,	,200,	,35,	,10227333,
-1,	,5,	,200,	,50,	,10231333,
-0.5,	,5,	,200,	,50,	,10231333,
-1,	,5,	,100,	,1,	,8173333,
-0.5,	,5,	,100,	,1,	,8173333,
-1,	,5,	,100,	,5,	,8950000,
-0.5,	,5,	,100,	,5,	,8950000,
-1,	,5,	,100,	,10,	,9807333,
-0.5,	,5,	,100,	,10,	,9807333,
-1,	,5,	,100,	,15,	,10072000,
-0.5,	,5,	,100,	,15,	,10072000,
-1,	,5,	,100,	,20,	,10031333,
-0.5,	,5,	,100,	,20,	,10031333,
-1,	,5,	,100,	,25,	,10018667,
-0.5,	,5,	,100,	,25,	,10018667,
-1,	,5,	,100,	,35,	,10228000,
-0.5,	,5,	,100,	,35,	,10228000,
-1,	,5,	,100,	,50,	,10153333,
-0.5,	,5,	,100,	,50,	,10153333,
-1,	,5,	,50,	,1,	,8173333,
-0.5,	,5,	,50,	,1,	,8173333,
-1,	,5,	,50,	,5,	,8950000,
-0.5,	,5,	,50,	,5,	,8950000,
-1,	,5,	,50,	,10,	,9807333,
-0.5,	,5,	,50,	,10,	,9807333,
-1,	,5,	,50,	,15,	,10072000,
-0.5,	,5,	,50,	,15,	,10072000,
-1,	,5,	,50,	,20,	,10031333,
-0.5,	,5,	,50,	,20,	,10031333,
-1,	,5,	,50,	,25,	,10030000,
-0.5,	,5,	,50,	,25,	,10030000,
-1,	,5,	,50,	,35,	,10228000,
-0.5,	,5,	,50,	,35,	,10228000,
-1,	,5,	,50,	,50,	,10153333,
-0.5,	,5,	,50,	,50,	,10153333,
-1,	,5,	,20,	,1,	,8173333,
-0.5,	,5,	,20,	,1,	,8173333,
-1,	,5,	,20,	,5,	,8960000,
-0.5,	,5,	,20,	,5,	,8960000,
-1,	,5,	,20,	,10,	,9816667,
-0.5,	,5,	,20,	,10,	,9816667,
-1,	,5,	,20,	,15,	,10043333,
-0.5,	,5,	,20,	,15,	,10043333,
-1,	,5,	,20,	,20,	,10031333,
-0.5,	,5,	,20,	,20,	,10031333,
-1,	,5,	,20,	,25,	,10030000,
-0.5,	,5,	,20,	,25,	,10030000,
-1,	,5,	,20,	,35,	,10228000,
-0.5,	,5,	,20,	,35,	,10228000,
-1,	,5,	,20,	,50,	,10153333,
-0.5,	,5,	,20,	,50,	,10153333,
-1,	,5,	,10,	,1,	,8174667,
-0.5,	,5,	,10,	,1,	,8174667,
-1,	,5,	,10,	,5,	,8930667,
-0.5,	,5,	,10,	,5,	,8930667,
-1,	,5,	,10,	,10,	,9816667,
-0.5,	,5,	,10,	,10,	,9816667,
-1,	,5,	,10,	,15,	,10043333,
-0.5,	,5,	,10,	,15,	,10043333,
-1,	,5,	,10,	,20,	,10031333,
-0.5,	,5,	,10,	,20,	,10031333,
-1,	,5,	,10,	,25,	,10030000,
-0.5,	,5,	,10,	,25,	,10030000,
-1,	,5,	,10,	,35,	,10228000,
-0.5,	,5,	,10,	,35,	,10228000,
-1,	,5,	,10,	,50,	,10153333,
-0.5,	,5,	,10,	,50,	,10153333,
-1,	,6,	,1000,	,1,	,7866667,
-0.5,	,6,	,1000,	,1,	,7866667,
-1,	,6,	,1000,	,5,	,10276000,
-0.5,	,6,	,1000,	,5,	,10276000,
-1,	,6,	,1000,	,10,	,10528000,
-0.5,	,6,	,1000,	,10,	,10528000,
-1,	,6,	,1000,	,15,	,10283333,
-0.5,	,6,	,1000,	,15,	,10283333,
-1,	,6,	,1000,	,20,	,10305333,
-0.5,	,6,	,1000,	,20,	,10305333,
-1,	,6,	,1000,	,25,	,10134667,
-0.5,	,6,	,1000,	,25,	,10134667,
-1,	,6,	,1000,	,35,	,10083333,
-0.5,	,6,	,1000,	,35,	,10083333,
-1,	,6,	,1000,	,50,	,9914000,
-0.5,	,6,	,1000,	,50,	,9914000,
-1,	,6,	,800,	,1,	,7836000,
-0.5,	,6,	,800,	,1,	,7836000,
-1,	,6,	,800,	,5,	,10258000,
-0.5,	,6,	,800,	,5,	,10258000,
-1,	,6,	,800,	,10,	,10581333,
-0.5,	,6,	,800,	,10,	,10581333,
-1,	,6,	,800,	,15,	,10400000,
-0.5,	,6,	,800,	,15,	,10400000,
-1,	,6,	,800,	,20,	,10360667,
-0.5,	,6,	,800,	,20,	,10360667,
-1,	,6,	,800,	,25,	,10188667,
-0.5,	,6,	,800,	,25,	,10188667,
-1,	,6,	,800,	,35,	,10134667,
-0.5,	,6,	,800,	,35,	,10134667,
-1,	,6,	,800,	,50,	,9916000,
-0.5,	,6,	,800,	,50,	,9916000,
-1,	,6,	,600,	,1,	,7836000,
-0.5,	,6,	,600,	,1,	,7836000,
-1,	,6,	,600,	,5,	,10250667,
-0.5,	,6,	,600,	,5,	,10250667,
-1,	,6,	,600,	,10,	,10602667,
-0.5,	,6,	,600,	,10,	,10602667,
-1,	,6,	,600,	,15,	,10376000,
-0.5,	,6,	,600,	,15,	,10376000,
-1,	,6,	,600,	,20,	,10188000,
-0.5,	,6,	,600,	,20,	,10188000,
-1,	,6,	,600,	,25,	,10014000,
-0.5,	,6,	,600,	,25,	,10014000,
-1,	,6,	,600,	,35,	,10114667,
-0.5,	,6,	,600,	,35,	,10114667,
-1,	,6,	,600,	,50,	,9914000,
-0.5,	,6,	,600,	,50,	,9914000,
-1,	,6,	,400,	,1,	,7835333,
-0.5,	,6,	,400,	,1,	,7835333,
-1,	,6,	,400,	,5,	,10246000,
-0.5,	,6,	,400,	,5,	,10246000,
-1,	,6,	,400,	,10,	,10486667,
-0.5,	,6,	,400,	,10,	,10486667,
-1,	,6,	,400,	,15,	,10248667,
-0.5,	,6,	,400,	,15,	,10248667,
-1,	,6,	,400,	,20,	,10132667,
-0.5,	,6,	,400,	,20,	,10132667,
-1,	,6,	,400,	,25,	,9944667,
-0.5,	,6,	,400,	,25,	,9944667,
-1,	,6,	,400,	,35,	,9902667,
-0.5,	,6,	,400,	,35,	,9902667,
-1,	,6,	,400,	,50,	,9934667,
-0.5,	,6,	,400,	,50,	,9934667,
-1,	,6,	,200,	,1,	,7835333,
-0.5,	,6,	,200,	,1,	,7835333,
-1,	,6,	,200,	,5,	,10286667,
-0.5,	,6,	,200,	,5,	,10286667,
-1,	,6,	,200,	,10,	,10520667,
-0.5,	,6,	,200,	,10,	,10520667,
-1,	,6,	,200,	,15,	,10311333,
-0.5,	,6,	,200,	,15,	,10311333,
-1,	,6,	,200,	,20,	,10163333,
-0.5,	,6,	,200,	,20,	,10163333,
-1,	,6,	,200,	,25,	,9979333,
-0.5,	,6,	,200,	,25,	,9979333,
-1,	,6,	,200,	,35,	,10010667,
-0.5,	,6,	,200,	,35,	,10010667,
-1,	,6,	,200,	,50,	,10054000,
-0.5,	,6,	,200,	,50,	,10054000,
